scenario,scenario_zh,supplysector,subsector,technology,input,eff_2005,eff_2021,eff_2035,default_eff_2025_scurve,target_energy_intensity_ratio_vs_2005,proposed_eff_2025,implied_energy_intensity_ratio_vs_2005,fixed_or_ceiling
moderate,中等,comm lighting,electricity,fluorescent,elect_td_bld,0.041,0.041,0.042,0.04125925925925926,0.85,0.048235294117647064,0.85,False
moderate,中等,resid_urban appliances modern,electricity,electric appliances,elect_td_bld,1.0,1.108,1.129,1.1134444444444445,0.85,1.1764705882352942,0.85,False
moderate,中等,resid_urban cooling modern,electricity,air conditioning,elect_td_bld,2.637,2.738,2.842,2.764962962962963,0.85,3.1023529411764708,0.85,False
moderate,中等,resid_urban cooling modern,electricity,air conditioning hi-eff,elect_td_bld,3.3,3.3,3.3,3.3,0.85,3.8823529411764706,0.85,False
moderate,中等,resid_urban heating modern,biomass,wood furnace,delivered biomass,0.4,0.406,0.412,0.40755555555555556,0.85,0.4705882352941177,0.85,False
moderate,中等,resid_urban heating modern,coal,coal furnace,delivered coal,0.4,0.406,0.412,0.40755555555555556,0.85,0.4705882352941177,0.85,False
moderate,中等,resid_urban heating modern,electricity,electric furnace,elect_td_bld,1.0,1.0,1.0,1.0,0.85,1.0,1.0,True
moderate,中等,resid_urban heating modern,gas,gas furnace,delivered gas,0.78,0.78,0.792,0.7831111111111111,0.85,0.9176470588235295,0.85,False
moderate,中等,resid_urban heating modern,gas,gas furnace hi-eff,delivered gas,0.84,0.84,0.84,0.84,0.85,0.9882352941176471,0.85,False
moderate,中等,resid_urban heating modern,heat,district heat,district heat,0.9,0.9,0.9,0.9,0.85,0.9,1.0,True
moderate,中等,resid_urban heating modern,refined liquids,fuel furnace,refined liquids enduse,0.78,0.78,0.792,0.7831111111111111,0.85,0.9176470588235295,0.85,False
moderate,中等,resid_urban heating modern,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.84,0.84,0.84,0.84,0.85,0.9882352941176471,0.85,False
moderate,中等,resid_urban hot water_cooking modern,coal,coal water heater,delivered coal,1.0,1.0,1.0,1.0,0.85,1.0,1.0,True
moderate,中等,resid_urban hot water_cooking modern,electricity,electric resistance water heater,elect_td_bld,0.8,0.9,0.9,0.9,0.85,0.9411764705882354,0.85,False
moderate,中等,resid_urban hot water_cooking modern,electricity,electric resistance water heater hi-eff,elect_td_bld,1.0,1.0,1.0,1.0,0.85,1.0,1.0,True
moderate,中等,resid_urban hot water_cooking modern,gas,gas water heater,delivered gas,0.52,0.52,0.52,0.52,0.85,0.611764705882353,0.85,False
moderate,中等,resid_urban hot water_cooking modern,gas,gas water heater hi-eff,delivered gas,0.82,0.82,0.82,0.82,0.85,0.9647058823529412,0.85,False
moderate,中等,resid_urban hot water_cooking modern,refined liquids,fuel water heater,refined liquids enduse,0.52,0.52,0.52,0.52,0.85,0.611764705882353,0.85,False
moderate,中等,resid_urban hot water_cooking modern,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.82,0.82,0.82,0.82,0.85,0.9647058823529412,0.85,False
moderate,中等,resid_urban lighting modern,electricity,elec light,elect_td_bld,0.3,0.3,0.3,0.3,0.85,0.35294117647058826,0.8499999999999999,False
