# File: HDDCDD_constdd_noGCM_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from Hong Kong Observatory https://data.gov.hk/tc-data/dataset/hk-hko-rss-daily-temperature-info-hko and using no climate models (const dgree day with no GCM model). The projection is started from 20.
# Column types: cccnnc
# ----------
Scen,GCM,variable,year,degree.days,region
constdd,no_GCM,HDD,2085,72.82655208291,HK
constdd,no_GCM,CDD,2085,2503.42956858635,HK
constdd,no_GCM,HDD,2086,72.82655208291,HK
constdd,no_GCM,CDD,2086,2503.42956858635,HK
constdd,no_GCM,HDD,2087,72.82655208291,HK
constdd,no_GCM,CDD,2087,2503.42956858635,HK
constdd,no_GCM,HDD,2088,72.82655208291,HK
constdd,no_GCM,CDD,2088,2503.42956858635,HK
constdd,no_GCM,HDD,2089,72.82655208291,HK
constdd,no_GCM,CDD,2089,2503.42956858635,HK
constdd,no_GCM,HDD,2090,72.82655208291,HK
constdd,no_GCM,CDD,2090,2503.42956858635,HK
constdd,no_GCM,HDD,2091,72.82655208291,HK
constdd,no_GCM,CDD,2091,2503.42956858635,HK
constdd,no_GCM,HDD,2092,72.82655208291,HK
constdd,no_GCM,CDD,2092,2503.42956858635,HK
constdd,no_GCM,HDD,2093,72.82655208291,HK
constdd,no_GCM,CDD,2093,2503.42956858635,HK
constdd,no_GCM,HDD,2094,72.82655208291,HK
constdd,no_GCM,CDD,2094,2503.42956858635,HK
constdd,no_GCM,HDD,2095,72.82655208291,HK
constdd,no_GCM,CDD,2095,2503.42956858635,HK
constdd,no_GCM,HDD,2096,72.82655208291,HK
constdd,no_GCM,CDD,2096,2503.42956858635,HK
constdd,no_GCM,HDD,2097,72.82655208291,HK
constdd,no_GCM,CDD,2097,2503.42956858635,HK
constdd,no_GCM,HDD,2098,72.82655208291,HK
constdd,no_GCM,CDD,2098,2503.42956858635,HK
constdd,no_GCM,HDD,2099,72.82655208291,HK
constdd,no_GCM,CDD,2099,2503.42956858635,HK
constdd,no_GCM,HDD,2100,72.82655208291,HK
constdd,no_GCM,CDD,2100,2503.42956858635,HK
