# File: HDDCDD_NEX_GDDP_CMIP6_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from the NEX-GDDP-CMIP6 dataset and using ensemble mean of 33 models in SSP126 SSP245 SSP370 and SSP585 scenarios. The projection is started from 2015.
# Column types: cnnnnnnnnnn
# ----------
scenario,year,hdd_fdd_mean,hdd_fdd_median,hdd_fdd_p05,hdd_fdd_p95,cdd_fdd_mean,cdd_fdd_median,cdd_fdd_p05,cdd_fdd_p95,n_models
ssp245,1997,115.55095221307101,108.41901985528955,41.83087075338159,207.01953973003089,2482.6605931951617,2498.559195607285,2203.3137738217915,2705.564550889179,33
ssp245,1998,143.48752700078683,137.37413820270757,75.65939616884727,259.11763568794265,2491.6077158731323,2501.711133865253,2292.3579615766735,2682.2877086655794,33
ssp245,1999,156.9926381808954,142.3845145623307,63.62239506778717,276.7188728147496,2462.9939163757354,2475.2400598537156,2263.4985775700784,2721.806923077006,33
ssp245,2000,147.92343501267942,144.49885543643506,64.63678139408417,231.33236895587845,2489.1032394594076,2491.0393691302497,2282.016600726578,2651.2015948524067,33
ssp245,2001,128.87439351830216,123.22585504304905,59.20560973471564,219.78793653347523,2534.95915237419,2556.614858189353,2248.5210466968983,2788.7069335423203,33
ssp245,2002,130.4280682151075,122.09412277526104,65.6939800261852,214.86443998127913,2520.056055314515,2496.845403315049,2342.286567766673,2774.3850910606343,33
ssp245,2003,140.55688685387742,118.85655853933233,49.48165713039273,307.1325884378021,2484.6565581534996,2465.952589241161,2249.712881472001,2750.905866999907,33
ssp245,2004,134.86266850333988,120.94934223295674,37.62141624817777,273.30096418416883,2513.7441261151653,2538.766740405018,2199.682078765633,2737.846682584433,33
ssp245,2005,122.2803615969633,108.41357275875833,34.7803833818224,229.2330774329429,2509.61014031899,2522.1267724769477,2307.7895245600293,2729.074219177731,33
ssp245,2006,128.00879610399886,121.23942655783814,65.68099323066161,219.79264966206014,2515.1075816987714,2513.9746242611245,2301.776232334658,2782.353619286942,33
